product_name,price,rating,review_count,category
SAMSUNG A16 5 Cell Android,199,4.2,912,Smartphones
Tracfone Motorola Moto G 5000mah Battery 50MP Quad Pixel 6.5 90hz...,39,4.3,985,Smartphones
Nokia g10 Nokia G10 Android 13 Day Battery 6.52 Inch 13MP Dusk...,69,3.5,89,Smartphones
AMSUNG Galaxy A16 5 SIM 6.7 90hz Water 8core 50MP A166M DS,147,4.1,116,Smartphones
SAMSUNG Galaxy A36 5 Cell Android 1 Yr Manufacturer Warranty,349,4.1,69,Smartphones
"Unlocked 4g smartphone 4 5.0 Inch SIM Wifi,,fm Android",55,5.0,4,Smartphones
Google pixel Google Pixel 9 Android Gemini 24 Hour Battery 6.3 Actua...,799,4.5,625,Smartphones
Samsung galaxy a05 Samsung Galaxy A05 A055 SIM Android,107,4.3,211,Smartphones
SAMSUNG A16 4 LTE SM A165F DS Factory 6.7 Sim 50MP Cam,138,3.6,815,Smartphones
OUKITEL C59 Cell 15 6.88”+ 10000 Mah Battery 1 Phones 120LM...,139,4.6,88,Smartphones
BLU C5L MAX Day Battery 5.7 16/2 |US Warranty,49,3.7,439,Smartphones
SAMSUNG Galaxy A36 5 Cell Android 1 Yr Manufacturer Warranty Lavender,349,4.4,61,Smartphones
Tracfone Motorola Moto G 5 Talk Text 4 Data 30 Day Plan,53,4.0,60,Smartphones
Mini phone World 3.0 Touch Mini Android Mobile Students Cell Wih Quad...,49,3.6,206,Smartphones
DOOGEE Note 59 Pro+ 5 15 Cellphone /2 Mobile 6.75 120hz Sim Cell Id...,249,4.3,33,Smartphones
40 5 6.56 Connectivity 5000mah Battery 4 RAM,89,3.7,13,Smartphones
5.0 Inch Mobile 9.0 Wifi//face,48,3.8,77,Smartphones
BLU G33 Day Battery 6.26 16/2 |US Warranty,59,3.6,301,Smartphones
Moto AT&T 4 LTE 4/ 50 MP Sapphire,78,3.8,115,Smartphones
Samsung galaxy a50 Samsung Galaxy A50 A505U,98,3.9,487,Smartphones
Bold k50 Bold K50 Day Battery 6.7 3D 256/8 64MP Warranty,179,4.0,190,Smartphones
Samsung galaxy a55 Samsung Galaxy A55 5 A556E SIM Navy,377,4.3,347,Smartphones
SAMSUNG A16 5 8 RAM SIM Factory GSM,184,4.1,160,Smartphones
BLU G63 Day Battery 6.8 Infinity 128/4 13MP Warranty,89,4.0,196,Smartphones
Motorola Razr /128 32MP Summer Lilac 73.95 170.82 7.35 Mm,299,3.9,875,Smartphones
Motorola moto Motorola Moto G 5 6.6 50MP Android 14 XT2417,107,4.3,220,Smartphones
Tracfone Moto,29,4.2,310,Smartphones
Tracfone Moto,29,4.2,310,Smartphones
Moto Day Battery Motorola 3/ 13MP Indigo,79,3.9,689,Smartphones
Google pixel Google Pixel 9a Gemini Android Photo Editing Day Battery...,599,3.9,86,Smartphones
OUKITEL C51 Android 14 6.8 Cell Phones 1 5150mah Battery Mobile 13MP...,99,4.2,472,Smartphones
60 XE 5 Cell Android 6.8 120hz PAPER AI 5010mah Battery 8 RAM...,284,4.4,14,Smartphones
SAMSUNG Galaxy S22 128,199,3.9,830,Smartphones
Motorola edge Motorola Edge 50MP,349,4.2,328,Smartphones
Google pixel fold Google Pixel Android 5 Telephoto Lens 24 Hour...,749,4.0,97,Smartphones
PIEXL 8 Cellphone 13 /6.8 Inch SIM Id Fingerprint/5 G Mobile,158,5.0,4,Smartphones
Reno 11 8GB+ 50MP+13MP Cell 6000 Mah Battery 4 SIM,99,5.0,3,Smartphones
Blackview wave 8c Blackview Wave 8C Cell 14 Phones 5000mah Core...,99,4.1,110,Smartphones
